X,Y,Reachability_Distance
13594666.37,4509729.442,
13594666.44,4509728.709,6.038259351990026
13594666.23,4509727.693,5.513122618262925
13594666.46,4509727.193,4.844401820485984
13594666.7,4509726.28,4.303184402052277
13594667.41,4509725.14,3.47124242925931
13594666.8,4509724.362,2.30329242569641
13594666.77,4509723.679,2.30329242569641
13594666.95,4509722.957,2.084490584761208
13594667.03,4509721.937,1.9384243615893182
13594666.63,4509721.332,1.8871735481269192
13594667.09,4509720.432,1.8871735481269192
13594669.03,4509720.882,1.3717856974241465
13594668.81,4509720.257,0.9741606639110602
13594668.99,4509718.974,1.2955651274381674
13594670.07,4509718.573,1.4039405255017778
13594669.22,4509724.205,1.0856537199928358
13594672.07,4509722.122,1.1132120189842605
13594672.08,4509721.024,1.1132120189842605
13594671.86,4509720.373,1.1132120189842605
13594671.8,4509719.58,1.3410876181483296
13594669.85,4509720.347,0.9600520828219529
13594671.75,4509719.859,1.20896691408774
13594670.88,4509719.855,1.09264632965407
13594670.11,4509719.981,0.9600520828219529
13594669.46,4509719.725,0.9924595719594761
13594668.56,4509719.686,1.0959014551144628
13594667.51,4509719.305,1.3873269267513604
13594671.41,4509719.412,1.2898123900102045
13594670.48,4509719.545,1.0862117662591337
13594670.29,4509721.628,0.9600520828219529
13594669.41,4509721.625,0.9741606639110602
13594671.74,4509722.62,1.1205802081646423
13594670.9,4509722.597,1.1205802081646423
13594670.33,4509722.503,1.0930457441062835
13594672.19,4509721.313,1.1132120189842605
13594671.42,4509721.239,1.0150374374900437
13594670.61,4509721.207,0.9600520828219529
13594669.64,4509721.059,0.9741606639110602
13594668.76,4509721.122,0.9741606639110602
13594667.95,4509721.037,1.8871735481269192
13594669.41,4509721.625,0.9741606639110602
13594670.98,4509723.956,1.3841184922715868
13594670.5,4509723.926,1.318992418505611
13594669.4,4509723.666,0.9751210182905813
13594670.17,4509722.342,1.0336827368753385
13594669.56,4509720.49,0.9741606639110602
13594669.44,4509719.727,0.9924595719594761
13594671.98,4509722.65,1.1908081300594027
13594671.9,4509721.782,1.1132120189842605
13594672.09,4509722.005,1.1132120189842605
13594671.67,4509722.099,1.1132120189842605
13594671.0,4509722.047,1.0150374374900437
13594670.08,4509721.962,1.0105983379750005
13594672.04,4509720.61,1.1132120189842605
13594670.91,4509720.839,0.9600520828219529
13594670.28,4509720.504,0.9600520828219529
13594669.44,4509720.22,0.9741606639110602
13594668.65,4509720.856,0.9741606639110602
13594667.69,4509720.169,1.1685636477432182
13594671.45,4509720.573,1.0150374374900437
13594670.8,4509720.661,0.9600520828219529
13594669.89,4509720.47,0.9741606639110602
13594669.27,4509720.274,0.9741606639110602
13594668.49,4509720.283,0.9741606639110602
13594668.64,4509720.746,0.9741606639110602
13594667.42,4509719.348,1.4103123762309615
13594667.82,4509719.948,1.1685636477432182
13594668.32,4509720.706,0.9741606639110602
13594669.28,4509720.701,0.9741606639110602
13594669.95,4509720.849,0.9741606639110602
13594670.54,4509720.939,0.9600520828219529
13594671.44,4509721.092,1.0150374374900437
13594667.83,4509720.918,1.043227684605754
13594668.65,4509720.856,0.9741606639110602
13594669.68,4509721.0,0.9600520828219529
13594670.35,4509721.082,0.9600520828219529
13594671.24,4509721.364,1.0150374374900437
13594671.97,4509721.322,1.1132120189842605
13594669.95,4509722.745,1.0842163052576346
13594671.66,4509722.564,1.1205802081646423
13594672.71,4509722.841,1.4123473374641622
13594670.43,4509719.93,1.023925778156868
13594670.15,4509720.875,0.9600520828219529
13594670.32,4509721.41,0.9600520828219529
13594669.73,4509721.511,0.9600520828219529
13594670.61,4509721.974,1.0150374374900437
13594671.34,4509721.855,1.0150374374900437
13594672.09,4509721.982,1.1132120189842605
13594670.04,4509723.366,1.1049999995157123
13594670.87,4509723.31,1.2696727919184894
13594671.64,4509723.395,1.3534090282078328
13594667.5,4509720.233,1.2501075960229107
13594668.32,4509720.215,0.9741606639110602
13594669.06,4509720.403,0.9741606639110602
13594670.02,4509720.529,0.9600520828219529
13594670.73,4509720.508,0.9600520828219529
13594671.36,4509720.583,1.0150374374900437
13594672.35,4509720.826,1.1132120189842605
13594670.24,4509721.943,1.0150374374900437
13594671.03,4509721.932,1.0150374374900437
13594670.21,4509722.181,1.0336827368753385
13594671.37,4509722.306,1.1132120189842605
13594669.25,4509721.01,0.9600520828219529
13594669.91,4509721.08,0.9600520828219529
13594670.65,4509721.16,0.9600520828219529
13594671.55,4509721.375,1.0150374374900437
13594669.76,4509722.518,1.0450937761332724
13594668.0,4509716.447,2.6339371670922582
13594668.18,4509715.003,3.0870064792555385
13594668.18,4509713.892,3.492458160610964
13594668.13,4509712.447,4.095550756979094
13594668.29,4509711.314,3.8759122785020557
13594669.1,4509710.542,2.9475313404269072
13594669.07,4509709.273,2.1377382896726473
13594670.85,4509709.54,1.478191123527238
13594667.95,4509709.828,1.4852945837412164
13594668.35,4509708.185,1.4852945837412164
13594670.4,4509708.896,1.4852945837412164
13594671.69,4509708.057,1.4579780526529256
13594669.55,4509708.785,1.478191123527238
13594668.64,4509708.909,1.4057738070056682
13594669.07,4509709.321,1.4057738070056682
13594668.3,4509709.258,1.4057738070056682
13594670.23,4509709.05,1.4057738070056682
13594669.4,4509708.939,1.4057738070056682
13594672.08,4509707.62,1.5014063403865723
13594671.2,4509707.653,1.4165436810787024
13594670.41,4509707.508,1.3790971678358646
13594669.64,4509707.495,1.4057738070056682
13594668.72,4509707.436,1.3790971678358646
13594669.35,4509708.049,1.4057738070056682
13594668.37,4509707.963,1.3501540644491148
13594668.81,4509707.959,1.4057738070056682
13594671.69,4509708.678,1.4165436810787024
13594671.65,4509707.417,1.5014063403865723
13594671.51,4509709.964,1.4780446549415398
13594669.29,4509710.802,1.4972511474453871
13594669.2,4509707.419,1.3790971678358646
13594670.97,4509708.781,1.3790971678358646
13594671.94,4509708.608,1.4780446549415398
13594670.46,4509708.833,1.4057738070056682
13594671.98,4509709.103,1.4780446549415398
13594670.28,4509708.542,1.4057738070056682
13594669.59,4509707.384,1.4057738070056682
13594670.8,4509707.664,1.3790971678358646
13594669.55,4509710.48,1.4230393537814283
13594668.64,4509708.909,1.4057738070056682
13594670.94,4509708.575,1.4057738070056682
13594668.62,4509708.385,1.4057738070056682
13594671.26,4509710.161,1.4780446549415398
13594667.92,4509709.859,1.4852945837412164
13594670.98,4509710.306,1.4230393537814283
13594669.97,4509710.89,1.5701273827284075
13594669.83,4509708.212,1.4057738070056682
13594669.94,4509708.903,1.3790971678358646
13594669.35,4509708.049,1.3790971678358646
