X,Y,Reachability_Distance,Core_Distance,Core_points_index
13594671.66,4509722.564,8.677037743619685,1.659215478514232,80
13594672.71,4509722.841,9.15252976061672,2.585652722272791,81
13594670.43,4509719.93,10.342231094218466,1.3845363851688197,82
13594670.15,4509720.875,9.363860795937384,1.0656458141388607,83
13594670.32,4509721.41,8.95072756837808,1.0336827368753385,84
13594669.73,4509721.511,8.613382669217959,1.0450937761332724,85
13594670.61,4509721.974,8.587701904066313,1.1930804666409032,86
13594671.34,4509721.855,9.069921113049581,1.216164463204146,87
13594672.09,4509721.982,9.40053190022327,1.6580964983968105,88
13594670.04,4509723.366,7.098357274214298,1.5041821699245754,89
13594670.87,4509723.31,7.606012358828366,1.7791919514731067,90
13594671.64,4509723.395,8.021166312824102,2.0991019507070785,91
13594667.5,4509720.233,9.27806989616629,1.8404955848720819,92
13594668.32,4509720.215,9.430802139984364,1.4103123762309615,93
13594669.06,4509720.403,9.430780508787455,1.1316289134989743,94
13594670.02,4509720.529,9.631410540390215,1.023925778156868,95
13594670.73,4509720.508,9.941124483718829,1.2033287162468735,96
13594671.36,4509720.583,10.167693003098929,1.3410876181483296,97
13594672.35,4509720.826,10.48789092220043,1.8135239181947405,98
13594670.24,4509721.943,8.438714416640433,1.1317844316090264,99
13594671.03,4509721.932,8.838308661617988,1.1205802081646423,100
13594670.21,4509722.181,8.213873691036108,1.2206232025350428,101
13594671.37,4509722.306,8.713351593913178,1.3534090282078328,102
13594669.25,4509721.01,8.910276314751595,0.9879013107842152,103
13594669.91,4509721.08,9.080453953540637,1.0286306432275587,104
13594670.65,4509721.16,9.322549222424486,1.0150374374900437,105
13594671.55,4509721.375,9.586912381631747,1.2304978671700884,106
13594669.76,4509722.518,7.709336936416253,1.2472706192209555,107
13594668.0,4509716.447,13.09682881485348,4.095550756979094,108
13594668.18,4509715.003,14.552004020374245,5.15056657015501,109
13594668.18,4509713.892,15.65498642593136,4.917243536687472,110
13594668.13,4509712.447,17.08588964641784,3.8759122785020557,111
13594668.29,4509711.314,18.22939340690678,2.9475313404269072,112
13594669.1,4509710.542,19.09614882591038,2.1377382896726473,113
13594669.07,4509709.273,20.34892038896456,1.4852945837412164,114
13594670.85,4509709.54,20.40000009791206,1.704373491864902,115
13594667.95,4509709.828,19.677535313208654,2.2821577521164023,116
13594668.35,4509708.185,21.349015176606066,1.9944485462306993,117
13594670.4,4509708.896,20.937502621212545,1.478191123527238,118
13594671.69,4509708.057,22.036801605351243,2.117821757878677,119
13594669.55,4509708.785,20.900336097675357,1.4057738070056682,120
13594668.64,4509708.909,20.658097419633872,1.6805621070245071,121
13594669.07,4509709.321,20.30134579232742,1.4972511474453871,122
13594668.3,4509709.258,20.276063621494202,1.8697818060452958,123
13594670.23,4509709.05,20.75411438750096,1.5524702889738067,124
13594669.4,4509708.939,20.7256823528008,1.4638087308438215,125
13594672.08,4509707.62,22.55667936547572,2.501158931645235,126
13594671.2,4509707.653,22.31791703979563,1.9191844622476726,127
13594670.41,4509707.508,22.3029584580759,1.7992176083608924,128
13594669.64,4509707.495,22.18927013211227,1.7318764389071772,129
13594668.72,4509707.436,22.13112143587168,2.0924588407814153,130
13594669.35,4509708.049,21.5995566854822,1.4230393537814283,131
13594668.37,4509707.963,21.571913243200164,1.9958309047776797,132
13594668.81,4509707.959,21.62112136330733,1.7907208045423826,133
13594671.69,4509708.678,21.434693745944696,1.817185735541977,134
13594671.65,4509707.417,22.649040266377153,2.342306768709014,135
13594671.51,4509709.964,20.14477808293681,2.331699165670166,136
13594669.29,4509710.802,18.867326254322997,2.1083396319379615,137
13594669.2,4509707.419,22.204085862795406,1.903031529573316,138
13594670.97,4509708.781,21.166882646912267,1.4780446549415398,139
13594671.94,4509708.608,21.56572410087215,2.075920036395441,140
13594670.46,4509708.833,21.010925277604525,1.4579780526529256,141
13594671.98,4509709.103,21.09850755388831,2.238062778409921,142
13594670.28,4509708.542,21.262598617709166,1.4165436810787024,143
13594669.59,4509707.384,22.29178691834426,1.8002724794765688,144
13594670.8,4509707.664,22.224000180231773,1.7264092797414266,145
13594669.55,4509710.48,19.22680014941777,1.8536744591530345,146
13594668.64,4509708.909,20.658097419633872,1.6805621070245071,147
13594670.94,4509708.575,21.361568036707087,1.5014063403865723,148
13594668.62,4509708.385,21.176868252913486,1.6674078687230482,149
13594671.26,4509710.161,19.891431848569685,2.225507582091463,150
13594667.92,4509709.859,19.644245696590414,2.3067292864650657,151
13594670.98,4509710.306,19.683459960316856,2.1490288502937815,152
13594669.97,4509710.89,18.89806085332517,2.3340696212397973,153
13594669.83,4509708.212,21.510102277432903,1.3790971678358646,154
13594669.94,4509708.903,20.846952319150272,1.4531280055708002,155
13594669.35,4509708.049,21.5995566854822,1.4230393537814283,156
13594669.61,4509707.792,21.891096363070822,1.574542473361055,157
13594670.4,4509707.982,21.835120792155223,1.5812732214147283,158
13594671.2,4509707.812,22.1627119278279,1.8651190306504584,159
13594672.13,4509708.036,22.167418343081643,2.4956474114972274,160
13594669.5,4509708.627,21.04901719756575,1.3501540644491148,161
13594669.99,4509709.32,20.44503078960172,1.4230393537814283,162
13594670.62,4509709.381,20.50624834020439,1.5537580238045723,163
13594668.69,4509709.644,19.9334694416458,1.7863135227103542,164
13594668.64,4509708.909,20.658097419633872,1.6805621070245071,165
13594669.32,4509709.137,20.518175479181647,1.5102238249018585,166
13594670.15,4509709.216,20.57618711036069,1.540892273763249,167
13594671.02,4509709.301,20.67080987761635,1.6627314870925416,168
13594671.82,4509709.181,20.981196844073658,2.187928014972172,169
13594669.27,4509710.206,19.453372355083722,1.8826640704199122,170
13594672.03,4509709.663,20.572905507135307,2.3977341375483956,171
13594671.08,4509709.688,20.30774768401289,1.8826640704199122,172
13594668.69,4509704.937,24.614577489689022,3.972314690507403,173
13594669.06,4509703.476,26.10496611773302,5.331564592501562,174
13594668.97,4509702.445,27.121910127813596,6.366474691553949,175
13594668.58,4509701.101,28.42703609250877,7.744982634376716,176
13594668.15,4509706.115,23.394814147258753,3.28928016422036,177
13594667.8,4509707.067,22.4206495223594,2.7650716083356377,178
13594667.65,4509708.136,21.34441463234204,2.430632839406912,179
13594667.8,4509710.562,18.93407774358854,2.708175769404263,180
13594667.67,4509711.88,17.610049517223356,3.665184306896853,181
13594667.65,4509712.526,16.964358402540828,4.148023625449503,182
13594667.61,4509713.517,15.973203341678895,4.721711977929655,183
13594667.45,4509714.701,14.780510173337248,5.405624477978494,184
13594667.56,4509715.736,13.757562865919507,4.849489045508085,185
